YEAR,9,12,15,18,21,24,27,30,33,36,39,42,45,50,55,60,65,70,75,80,85,90,95,100,105
1978,0,0,0,1,1,0,1,0,3,16,19,73,220,103,29,19,13,4,5,4,0,1,2,0,0
1979,0,0,0,0,0,0,1,21,45,94,204,315,329,77,122,147,144,37,5,4,3,1,1,0,0
1980,0,0,0,0,0,0,2,36,75,235,635,1014,1560,1038,971,714,497,632,485,197,86,49,17,5,2
1982,0,0,0,0,0,2,1,6,58,113,64,73,294,386,518,729,731,534,241,104,51,41,21,3,3
1983,0,0,0,0,0,1,1,50,154,93,95,176,492,758,1626,2344,2071,1307,644,211,77,36,21,12,6
1984,0,1,2,1,0,15,194,401,367,220,105,223,709,779,1264,2262,3195,2930,2027,1039,434,144,24,13,2
1985,0,0,2,0,4,0,2,39,116,257,720,1752,2234,1079,1388,2440,4999,5563,4288,2630,1385,594,221,67,23
1986,0,4,16,8,34,60,118,249,635,761,683,783,2228,3560,3287,2095,2631,3469,3357,2442,1346,454,168,58,17
1987,0,0,3,13,15,58,192,440,477,592,1161,2054,3898,2890,3326,5470,5461,4306,3650,3106,1953,1076,440,198,63
1988,1,0,1,1,6,29,92,580,1448,1956,2185,4311,11135,10599,10194,9103,10096,12012,10395,5807,3010,1686,814,346,92
1989,0,0,3,3,1,0,28,217,494,795,720,954,3110,4341,4654,5664,7033,8561,8246,6265,3826,1867,919,388,144
1990,0,0,0,0,0,11,93,214,284,269,232,203,416,853,1482,2458,3274,3396,3059,2109,1365,738,424,161,52
1991,0,0,0,0,0,14,128,335,393,367,389,604,2129,2128,1770,2416,3307,3528,3007,2104,1371,761,403,192,66
1992,0,0,0,0,0,9,52,156,323,382,568,1077,2241,1742,1545,1531,1753,1532,1385,1024,682,409,230,102,44
1993,0,0,0,0,0,10,93,428,617,658,1718,2987,4493,3792,3576,2542,1640,1288,1041,759,505,316,182,78,35
1994,0,0,0,0,0,13,136,457,789,664,398,626,2039,2917,2912,2322,2297,1901,1170,699,424,240,140,69,34
1995,0,0,0,0,0,20,71,127,163,303,1181,2663,4198,2714,3176,3669,3894,3045,1763,1022,624,345,175,92,32
1996,0,0,0,0,0,7,76,224,277,232,232,507,1862,3157,2940,2095,2323,2488,1957,1292,733,441,227,116,59
1997,0,0,0,0,0,8,76,296,564,574,439,503,1842,2099,2798,3872,3840,2762,1613,1010,641,342,169,75,31
1998,0,0,0,0,0,11,106,204,191,144,125,191,697,831,920,1389,1982,2110,1283,646,312,183,102,45,20
1999,1,0,0,0,0,1,36,143,134,119,347,847,1669,1011,1038,1292,1673,1697,1218,781,384,190,77,36,17
2000,0,0,0,0,0,1,21,61,54,83,180,336,950,1383,1491,1376,1361,1405,1104,761,466,259,135,63,28
2001,0,0,0,0,0,1,3,10,29,54,37,59,306,487,646,918,972,783,497,358,215,137,61,30,13
2002,0,0,0,0,0,4,34,148,255,253,221,261,749,860,906,1494,1912,1672,959,440,211,97,45,19,10
2003,0,0,0,0,0,0,3,31,95,128,139,246,670,703,760,989,1290,1466,1049,622,308,130,58,27,10
2004,0,0,0,0,0,2,3,32,122,196,194,186,799,1329,1487,1739,1760,1393,946,590,315,190,111,62,26
2005,0,0,0,0,0,2,7,52,120,162,147,140,461,756,1118,1584,1958,1796,1139,728,404,232,108,44,16
2006,0,0,0,0,0,1,5,28,91,147,161,176,582,882,992,1186,1473,1570,1299,952,578,290,133,39,25
2007,0,1,2,8,13,28,55,149,230,276,380,443,1225,1865,2284,3131,3028,2593,2096,1637,1078,657,352,131,55
2008,0,0,2,4,5,32,66,79,82,75,117,179,631,799,1019,1591,1726,1480,869,554,373,291,145,69,25
2009,0,0,1,3,0,4,10,19,30,50,203,412,617,422,566,1073,1098,904,417,298,157,114,69,27,14
