YEAR,9,12,15,18,21,24,27,30,33,36,39,42,45,50,55,60,65,70,75,80,85,90,95,100,105
1982,17,97,234,148,37,28,132,403,766,750,416,520,1512,1327,1288,1179,875,474,210,90,29,9,4,0,0
1983,393,1396,1289,622,147,32,135,370,551,380,209,394,1367,1289,1341,1128,921,650,325,151,31,19,4,1,0
1984,70,129,82,142,282,920,1653,1712,1041,485,249,261,536,579,864,961,880,590,381,173,94,38,9,1,0
1985,162,540,964,1537,1761,664,298,595,880,942,1154,1528,1879,678,480,543,687,674,496,253,111,38,17,5,0
1986,154,465,501,154,114,693,1775,1908,1585,1083,553,425,1069,1338,1203,628,416,453,370,264,119,74,21,13,0
1987,18,69,250,398,267,185,440,899,779,606,617,956,1478,827,598,654,632,413,211,166,71,49,16,7,0
1988,8,49,76,88,109,233,279,384,641,625,491,659,1418,1306,1114,849,570,420,293,244,74,32,25,7,4
1989,24,154,298,205,70,34,82,87,139,347,339,366,871,1193,1294,1143,945,858,666,338,247,145,89,62,0
1990,201,488,699,355,133,122,249,292,322,276,175,123,194,223,347,419,283,266,182,128,82,33,26,11,3
1991,131,389,432,369,229,272,620,897,932,630,346,193,301,312,249,215,207,178,110,112,49,20,22,7,2
1992,18,456,517,698,556,435,854,1075,856,542,451,622,915,546,242,222,176,103,97,86,51,37,28,15,4
1993,114,924,1087,981,677,213,247,614,846,666,489,615,1071,665,399,267,230,85,62,48,37,20,23,14,6
1994,19,145,291,364,326,445,956,1922,2081,1121,444,523,1216,961,1059,920,565,288,92,46,34,60,16,22,9
1995,30,73,135,208,77,173,460,691,579,705,1064,1233,1360,616,434,483,326,253,132,84,40,27,19,9,3
1996,14,65,164,198,110,103,357,699,677,526,499,744,1477,1404,908,499,288,237,148,109,71,25,16,7,3
1997,91,473,601,728,508,140,215,481,628,451,407,399,919,809,842,583,436,215,105,60,40,26,10,4,1
1998,30,262,334,74,46,311,1151,1837,1396,655,379,367,659,458,378,391,333,244,132,64,33,29,9,10,1
1999,71,334,286,113,141,415,760,874,667,718,1169,1648,1854,768,493,447,337,252,132,89,62,37,24,7,2
2000,174,917,1308,505,54,141,487,784,604,563,748,957,1717,1418,894,536,265,187,99,79,56,32,19,3,0
2001,95,646,1828,2113,1010,408,903,1990,2543,1614,705,486,1192,1277,1077,818,513,257,123,71,34,22,14,4,5
2002,31,190,374,352,105,209,664,1459,1449,1005,792,1216,1578,878,609,545,367,208,103,49,19,16,15,3,2
2003,19,283,634,775,683,490,183,252,683,838,974,1192,1973,1216,768,515,339,260,142,86,35,14,2,1,0
2004,24,275,483,562,318,218,484,729,931,979,712,578,806,925,844,714,474,283,211,111,82,34,15,5,4
2005,5,153,587,889,1013,1052,481,415,572,727,650,627,866,705,521,529,495,358,291,182,103,46,21,7,0
2006,478,1286,1075,883,317,165,266,604,753,866,706,532,728,855,643,494,395,320,259,238,144,76,35,14,3
2007,618,3990,2589,1239,473,151,327,417,386,262,211,225,381,370,260,270,206,148,83,64,67,43,17,16,5
2008,228,1118,890,266,131,948,2000,1958,1083,512,380,409,645,607,519,454,311,192,98,70,58,47,32,17,1
2009,1481,3030,1885,1000,177,209,764,1304,867,655,969,1108,1334,605,410,351,239,127,63,35,26,9,14,5,3
