"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
1982,1301.2079,8651.0134,86.48,2.264,5.87454545454545
1983,1779.6895,9900.9438,86.6047297297297,2.75709459459459,8.70878378378378
1984,1826.9096,10749.9639,89.7425373134328,2.29626865671642,7.48507462686567
1985,1779.2726,8778.9554,91.45703125,2.40234375,7.303125
1986,2296.396,9354.7292,91.8832684824903,1.86731517509728,5.81789883268482
1987,2143.746,8251.7409,89.4334975369458,3.31871921182266,7.12758620689655
1988,3700.8126,15976.1331,93.0234375,2.202734375,6.975390625
1989,3424.0143,14793.7745,91.2490706319703,2.78104089219331,7.12676579925651
1990,3608.2166,12904.0974,94.4652173913043,2.17434782608696,7.56826086956522
1991,3322.6244,14094.0817,91.0371900826446,2.27479338842975,7.91239669421488
1992,3816.7722,15929.909,92.2768595041322,1.63471074380165,7.18801652892562
1993,3865.7623,13606.1834,88.7276119402985,2.78097014925373,7.29141791044776
1994,4104.5879,14805.7528,87.4541484716157,1.8296943231441,5.61441048034934
1995,4174.6259,13948.8361,90.0930232558139,1.58294573643411,6.23217054263566
1996,4287.4303,14269.0154,88.340206185567,3.25223367697595,6.81993127147766
1997,5305.6557,13554.4732,87.0592334494773,2.55331010452962,7.9815331010453
1998,4628.2698,13268.6915,84.7637540453074,3.05404530744337,7.61326860841424
1999,2472.301,7637.0724,92.864406779661,1.22203389830508,4.46610169491525
2000,2656.6657,7995.1582,90.4772727272727,2.07954545454545,6.63106060606061
2001,3596.7143,11449.8346,89.3802816901408,2.63838028169014,6.1943661971831
2002,4119.5177,10547.3899,88.2120141342756,2.98975265017668,7.08303886925795
2003,3696.2596,10805.9788,91.2307692307692,3.59055944055944,8.17307692307692
2004,4379.334,13235.8628,91.0678571428571,3.09214285714286,8.64178571428571
2005,4135.4376,13276.8074,90.7697841726619,3.33453237410072,7.67230215827338
2006,4838.0489,15256.8109,94.3230769230769,1.96307692307692,6.37884615384615
2007,4257.4658,13547.1244,92.3666666666667,1.61444444444444,6.60555555555556
2008,4080.8245,12840.8146,92.381679389313,1.37404580152672,4.52786259541985
2009,3337.5466,10200.783,94.7178423236515,1.33858921161826,5.12863070539419
2010,3794.6608,11560.0925,92.26953125,1.6859375,5.59609375
2011,5325.1692,14103.8811,92.1309090909091,2.34436363636364,5.36545454545455
2012,3006.6547,9245.9549,94.8641975308642,0.964609053497942,5.33621399176955
