"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
"1984",1172.6582,3680.7184,222.465517241379,5.82155172413793,11.875
"1987",580.9646,2047.3982,186.266355140187,5.87289719626168,10.8929906542056
"1990",983.8877,3112.4985,205.590909090909,5.60909090909091,13.5854545454545
"1993",2645.8479,7219.8555,184.072314049587,5.43388429752066,12.0219008264463
"1996",2213.6939,6023.6805,188.254310344828,5.37025862068965,10.0978448275862
"1999",1825.6757,5465.1322,189.080086580087,5.1530303030303,8.62164502164502
"2001",1119.88,3165.9204,171.538167938931,5.59351145038168,9.82862595419847
"2003",2638.3584,9310.4409,177.758754863813,5.73365758754864,10.5322957198444
"2005",3190.4065,9962.6417,177.77094972067,5.62607076350093,11.4188081936685
"2007",3107.4645,8733.7253,181.975155279503,4.75776397515528,9.55238095238095
"2009",3566.2196,10730.1959,177.903284671533,4.77919708029197,9.26642335766423
"2011",2364.126,6528.3506,179.412621359223,5.20436893203884,9.87305825242719
"2013",2019.0611,5408.3895,175.997023809524,5.17797619047619,10.4011904761905
