"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
"1984",11019.2559,13938.039,182.663461538462,5.87147435897436,11.3602564102564
"1987",10942.233,16100.4583,160.888888888889,6.16311111111111,10.8564444444444
"1990",4295.9176,7668.1805,191.448430493274,5.71614349775785,13.442600896861
"1993",19877.0378,24462.4413,161.28125,5.65243055555556,11.5815972222222
"1996",18964.7204,32249.8079,158.696397941681,5.43996569468268,9.40926243567753
"1999",13781.124,19332.0966,163.684881602914,4.95045537340619,7.79726775956284
"2001",4240.2499,16515.7581,143.377224199288,5.71494661921708,9.26548042704626
"2003",15693.3365,25003.1739,152.728370221328,5.95010060362173,10.1863179074447
"2005",12902.7838,22403.0928,158.451485148515,5.81524752475248,11.2817821782178
"2007",9241.254,18832.6159,147.391891891892,4.77625482625483,9.06737451737452
"2009",23587.0726,30631.8859,143.637837837838,4.89207207207207,8.84792792792793
"2011",18205.0109,24420.2815,145.330595482546,5.3517453798768,9.33655030800821
"2013",21934.9475,35296.6706,137.949886104784,5.29908883826879,9.58974943052392
